epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,32455.2,1.37903,1.11626,1.46825,0.84634,0.58657,0.71107,0.47468,1.53694,1.33843,1.57514,0.0006832,0.0006832,0.0006832
66,32709.4,1.37677,1.11187,1.47158,0.84176,0.57503,0.70973,0.46037,1.57658,1.34967,1.57142,0.00067825,0.00067825,0.00067825
67,32971,1.33976,1.06878,1.45883,0.84941,0.57188,0.71129,0.47434,1.56958,1.34315,1.58557,0.0006733,0.0006733,0.0006733
68,33231.7,1.31574,1.06164,1.44163,0.85078,0.57712,0.70486,0.47046,1.56378,1.3362,1.57696,0.00066835,0.00066835,0.00066835
69,33461.7,1.34326,1.07797,1.44624,0.85575,0.58516,0.71262,0.47537,1.55933,1.33311,1.578,0.0006634,0.0006634,0.0006634
70,33691.5,1.31447,1.06627,1.44944,0.87209,0.56348,0.70173,0.46969,1.57336,1.38705,1.58755,0.00065845,0.00065845,0.00065845
71,33918.6,1.31601,1.05339,1.43995,0.8355,0.58447,0.70844,0.46749,1.60655,1.35376,1.60488,0.0006535,0.0006535,0.0006535
72,34201.9,1.29949,1.03015,1.42741,0.90719,0.55929,0.70728,0.47959,1.53801,1.33481,1.5546,0.00064855,0.00064855,0.00064855
73,34478.5,1.34061,1.06739,1.4637,0.84876,0.56533,0.70482,0.46898,1.54842,1.3548,1.57587,0.0006436,0.0006436,0.0006436
74,34751.2,1.29584,1.0348,1.42112,0.83785,0.58762,0.71549,0.49096,1.51334,1.30475,1.53264,0.00063865,0.00063865,0.00063865
75,34999.4,1.25659,1.00645,1.40756,0.91575,0.59706,0.73097,0.48394,1.5495,1.28019,1.58624,0.0006337,0.0006337,0.0006337
76,35221.1,1.31937,1.04005,1.44958,0.86099,0.56768,0.70537,0.44309,1.64304,1.36141,1.65106,0.00062875,0.00062875,0.00062875
77,35433.6,1.32803,1.04863,1.44795,0.88624,0.57293,0.70472,0.46275,1.60261,1.31789,1.59188,0.0006238,0.0006238,0.0006238
78,35668.5,1.30137,1.03734,1.42129,0.86495,0.58657,0.7203,0.49606,1.4888,1.27614,1.53181,0.00061885,0.00061885,0.00061885
79,35913.5,1.25709,0.99974,1.40033,0.83293,0.57293,0.70428,0.48709,1.48074,1.32583,1.51557,0.0006139,0.0006139,0.0006139
80,36162.4,1.28129,1.00954,1.41689,0.89655,0.57291,0.71993,0.49748,1.50912,1.27811,1.55498,0.00060895,0.00060895,0.00060895
81,36398.5,1.29997,1.04498,1.43025,0.86142,0.58972,0.71885,0.49392,1.47635,1.28088,1.52444,0.000604,0.000604,0.000604
82,36618.4,1.28953,1.01586,1.41441,0.90197,0.57931,0.72236,0.49569,1.4735,1.28333,1.50259,0.00059905,0.00059905,0.00059905
83,36865.2,1.25537,0.98893,1.40224,0.89909,0.58903,0.72661,0.50506,1.46271,1.2574,1.51262,0.0005941,0.0005941,0.0005941
84,37076.1,1.26275,1.00692,1.4011,0.90154,0.57651,0.71993,0.49257,1.49728,1.2826,1.54075,0.00058915,0.00058915,0.00058915
85,37295.6,1.27399,1.01543,1.41348,0.89838,0.59286,0.72688,0.50178,1.45414,1.26196,1.50744,0.0005842,0.0005842,0.0005842
86,37524.8,1.2894,1.00636,1.41305,0.88595,0.59182,0.72462,0.48778,1.52322,1.27863,1.55337,0.00057925,0.00057925,0.00057925
87,37753.8,1.24399,0.99468,1.39448,0.87746,0.58657,0.71959,0.49496,1.5317,1.29842,1.57012,0.0005743,0.0005743,0.0005743
88,37998.3,1.21408,0.94564,1.37227,0.91196,0.59601,0.73686,0.50853,1.47413,1.2385,1.52639,0.00056935,0.00056935,0.00056935
