epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,851.926,0.86772,0.57068,0.99923,0.9537,0.83824,0.91634,0.70416,0.87916,0.54073,1.0142,0.000868825,0.000868825,0.000868825
55,867.444,0.88353,0.56439,1.00772,0.95139,0.83887,0.91907,0.70704,0.88783,0.53228,1.02281,0.00086635,0.00086635,0.00086635
56,883.095,0.8765,0.56204,0.99359,0.94133,0.85204,0.9186,0.70446,0.88684,0.54013,1.02198,0.000863875,0.000863875,0.000863875
57,898.506,0.86591,0.55508,0.988,0.94945,0.83611,0.91876,0.71124,0.8725,0.5333,1.01652,0.0008614,0.0008614,0.0008614
58,914.236,0.87311,0.56509,0.99697,0.95783,0.83197,0.91497,0.70874,0.87299,0.53424,1.02013,0.000858925,0.000858925,0.000858925
59,929.518,0.8718,0.5625,0.99979,0.9658,0.83386,0.92062,0.71116,0.86891,0.53526,1.00692,0.00085645,0.00085645,0.00085645
60,945.109,0.87326,0.56311,0.99603,0.95612,0.83386,0.91937,0.70297,0.88301,0.5388,1.02111,0.000853975,0.000853975,0.000853975
61,960.667,0.85761,0.56304,0.98927,0.95254,0.83699,0.92128,0.71271,0.87409,0.53432,1.01052,0.0008515,0.0008515,0.0008515
62,976.809,0.86722,0.55538,0.9998,0.93992,0.85643,0.92032,0.711,0.87196,0.52878,1.01473,0.000849025,0.000849025,0.000849025
63,993.925,0.86755,0.55578,0.99157,0.94434,0.84034,0.91808,0.70469,0.87666,0.52935,1.02005,0.00084655,0.00084655,0.00084655
64,1009.64,0.83592,0.54179,0.98557,0.95163,0.84138,0.91891,0.71167,0.85759,0.52686,1.01481,0.000844075,0.000844075,0.000844075
65,1025.78,0.87115,0.55885,0.99317,0.93229,0.84639,0.91593,0.70698,0.89016,0.54343,1.03267,0.0008416,0.0008416,0.0008416
66,1041.91,0.85519,0.55497,1.00361,0.94806,0.8395,0.91997,0.71842,0.85216,0.52543,1.01113,0.000839125,0.000839125,0.000839125
67,1058.39,0.83831,0.53616,0.98862,0.95173,0.83448,0.91593,0.71038,0.8767,0.52785,1.02234,0.00083665,0.00083665,0.00083665
68,1074.29,0.84361,0.54366,0.98683,0.94723,0.83278,0.91647,0.71142,0.86213,0.52749,1.0182,0.000834175,0.000834175,0.000834175
69,1090.84,0.84232,0.54475,0.996,0.95295,0.83814,0.91916,0.70841,0.87172,0.54743,1.01881,0.0008317,0.0008317,0.0008317
70,1106.98,0.85049,0.54493,0.98236,0.93969,0.85141,0.91945,0.71605,0.86384,0.51848,1.01508,0.000829225,0.000829225,0.000829225
71,1122.64,0.83535,0.52859,0.98209,0.93939,0.82601,0.91358,0.70997,0.86539,0.531,1.01603,0.00082675,0.00082675,0.00082675
72,1138.23,0.84269,0.54163,0.99316,0.94558,0.83574,0.91591,0.70905,0.87037,0.5298,1.01728,0.000824275,0.000824275,0.000824275
73,1154.31,0.85231,0.5538,0.98819,0.95222,0.83723,0.91693,0.70313,0.88483,0.53837,1.01713,0.0008218,0.0008218,0.0008218
74,1169.96,0.84422,0.54117,0.98802,0.93843,0.85455,0.9216,0.71001,0.88277,0.5199,1.03046,0.000819325,0.000819325,0.000819325
75,1185.54,0.852,0.55165,0.98879,0.94257,0.85413,0.9205,0.71613,0.86494,0.52011,1.00923,0.00081685,0.00081685,0.00081685
76,1201.23,0.85061,0.54483,0.99139,0.94903,0.83824,0.91701,0.71913,0.8469,0.51981,1.01116,0.000814375,0.000814375,0.000814375
77,1216.97,0.83391,0.53256,0.97893,0.94296,0.8499,0.91911,0.71312,0.86998,0.51064,1.0138,0.0008119,0.0008119,0.0008119
78,1232.85,0.85238,0.55669,0.99112,0.94609,0.84724,0.92129,0.72128,0.84923,0.51813,1.00883,0.000809425,0.000809425,0.000809425
79,1248.51,0.83472,0.53493,0.9833,0.94388,0.84953,0.92037,0.71568,0.85921,0.51175,1.0074,0.00080695,0.00080695,0.00080695
80,1264.2,0.83518,0.53518,0.97881,0.94365,0.85016,0.92056,0.7198,0.85671,0.51345,1.01255,0.000804475,0.000804475,0.000804475
