epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,3107.02,1.32693,0.8591,0.95542,0.74373,0.50144,0.5843,0.35137,1.30891,0.86149,0.9657,0.00072775,0.00072775,0.00072775
57,3161.94,1.30847,0.85095,0.94816,0.76844,0.49651,0.58986,0.35576,1.27838,0.86152,0.94934,0.0007228,0.0007228,0.0007228
58,3217.42,1.30964,0.84849,0.95269,0.75562,0.49736,0.58835,0.35819,1.299,0.85893,0.95209,0.00071785,0.00071785,0.00071785
59,3272.6,1.31604,0.85268,0.95554,0.74475,0.50144,0.58673,0.35477,1.29825,0.85646,0.95159,0.0007129,0.0007129,0.0007129
60,3328.57,1.31382,0.85066,0.94691,0.75196,0.50624,0.58893,0.35648,1.29191,0.86905,0.94839,0.00070795,0.00070795,0.00070795
61,3384.08,1.29855,0.84583,0.95033,0.74855,0.51404,0.59238,0.35765,1.30436,0.85656,0.94978,0.000703,0.000703,0.000703
62,3439.37,1.30602,0.83875,0.94614,0.7663,0.50192,0.59334,0.35721,1.29589,0.85189,0.94465,0.00069805,0.00069805,0.00069805
63,3495.3,1.28934,0.83732,0.94421,0.7647,0.49951,0.5916,0.35617,1.30769,0.85788,0.95946,0.0006931,0.0006931,0.0006931
64,3549.97,1.2945,0.83676,0.94852,0.7575,0.49256,0.58613,0.35634,1.28641,0.85657,0.94965,0.00068815,0.00068815,0.00068815
65,3605.58,1.29251,0.83809,0.9443,0.75213,0.50841,0.59603,0.36075,1.28975,0.84483,0.94647,0.0006832,0.0006832,0.0006832
66,3661.51,1.29301,0.84269,0.94452,0.77196,0.49616,0.59303,0.35873,1.2889,0.85801,0.94658,0.00067825,0.00067825,0.00067825
67,3716.64,1.29822,0.83941,0.95071,0.74718,0.50456,0.58754,0.35861,1.29117,0.84803,0.95003,0.0006733,0.0006733,0.0006733
